AF,Chain
AF-O15540-F1-model_v1.pdb,6L9O:A
AF-P05413-F1-model_v1.pdb,4TJZ:A
AF-P05413-F1-model_v1.pdb,4WBK:A
AF-P05413-F1-model_v1.pdb,4TKB:A
AF-P05413-F1-model_v1.pdb,4TKJ:A
AF-P05413-F1-model_v1.pdb,4TKH:A
AF-P05413-F1-model_v1.pdb,3WVM:A
AF-P09211-F1-model_v1.pdb,2A2R:A
AF-P09211-F1-model_v1.pdb,5DAL:A
AF-P10599-F1-model_v1.pdb,5DQY:A
AF-P10599-F1-model_v1.pdb,2IFQ:A
AF-P10599-F1-model_v1.pdb,2IFQ:B
AF-P10599-F1-model_v1.pdb,2IFQ:C
AF-P29373-F1-model_v1.pdb,6HKR:A
AF-P50120-F1-model_v1.pdb,7JVG:A
AF-P50120-F1-model_v1.pdb,7JVY:A
AF-P62937-F1-model_v1.pdb,4N1N:A
AF-P62937-F1-model_v1.pdb,4N1S:A
AF-P62937-F1-model_v1.pdb,4YUG:A
AF-P62937-F1-model_v1.pdb,6X4P:A
AF-P62937-F1-model_v1.pdb,5NOY:A
AF-P62937-F1-model_v1.pdb,5NOW:A
AF-P62937-F1-model_v1.pdb,5NOX:A
AF-P62937-F1-model_v1.pdb,5NOU:A
AF-P62937-F1-model_v1.pdb,5NOS:A
AF-P62937-F1-model_v1.pdb,5NOT:A
AF-P62937-F1-model_v1.pdb,6GJL:A
AF-P62937-F1-model_v1.pdb,6GJM:A
AF-P62937-F1-model_v1.pdb,6GJJ:A
AF-P62937-F1-model_v1.pdb,6GJY:A
AF-Q96FJ2-F1-model_v1.pdb,2XQQ:B
AF-Q9BVJ7-F1-model_v1.pdb,4ERC:A
AF-Q9BVJ7-F1-model_v1.pdb,4ERC:B
AF-Q9BY32-F1-model_v1.pdb,2CAR:B
AF-Q9H0R8-F1-model_v1.pdb,5LXI:D
AF-Q9H0R8-F1-model_v1.pdb,6HOI:B
